week,n_games,mae,rmse,ats_win_rate,ats_eligible_games,mean_model_edge_vs_close
1,80,11.23,14.494,0.5125,80,0.595
2,80,12.383,16.185,0.525,80,0.267
3,80,14.67,19.418,0.475,80,1.151
4,80,12.951,16.46,0.4125,80,-0.668
5,74,12.302,16.795,0.473,74,0.386
6,72,13.269,16.042,0.4444,72,0.755
7,70,15.702,19.484,0.5571,70,0.092
8,75,14.779,18.358,0.5067,75,0.404
9,70,12.794,16.09,0.6429,70,-0.323
10,70,12.335,16.403,0.4714,70,1.373
11,72,14.09,17.89,0.4583,72,-0.406
12,74,13.054,16.492,0.4865,74,-0.132
13,74,13.175,17.221,0.4595,74,1.009
14,69,14.568,17.996,0.4493,69,-0.027
15,80,14.049,17.731,0.5625,80,-0.155
16,80,12.953,16.932,0.425,80,0.017
17,79,16.965,21.596,0.5823,79,0.967
18,80,13.588,17.673,0.5125,80,-0.532
