n_games,mae,rmse,ats_win_rate,ats_eligible_games,mean_model_edge_vs_close,w_elo,w_epa,w_dvoa
815,12.672,16.215,0.5276,815,0.21,0.3,0.7,0.0
815,12.824,16.428,0.5276,815,0.209,0.2,0.7,0.1
815,12.792,16.421,0.5264,815,0.21,0.3,0.6,0.1
815,12.726,16.252,0.5252,815,0.209,0.2,0.8,0.0
815,12.876,16.461,0.5252,815,0.207,0.1,0.8,0.1
815,12.806,16.316,0.5252,815,0.207,0.1,0.9,0.0
815,12.636,16.203,0.5239,815,0.212,0.4,0.6,0.0
815,12.95,16.52,0.5227,815,0.206,0.0,0.9,0.1
815,13.185,16.944,0.5215,815,0.207,0.1,0.6,0.3
815,12.897,16.405,0.5215,815,0.205,0.0,1.0,0.0
815,13.209,16.944,0.5202,815,0.206,0.0,0.7,0.3
815,12.977,16.668,0.5178,815,0.209,0.2,0.6,0.2
815,12.616,16.217,0.5166,815,0.214,0.5,0.5,0.0
815,13.0,16.671,0.5166,815,0.207,0.1,0.7,0.2
815,13.427,17.248,0.5129,815,0.206,0.0,0.6,0.4
815,12.78,16.44,0.5129,815,0.212,0.4,0.5,0.1
815,13.428,17.277,0.5117,815,0.208,0.1,0.5,0.4
815,13.184,16.97,0.5117,815,0.209,0.2,0.5,0.3
815,12.965,16.691,0.5117,815,0.211,0.3,0.5,0.2
815,14.847,19.148,0.5067,815,0.208,0.1,0.1,0.8
815,13.053,16.7,0.5055,815,0.206,0.0,0.8,0.2
815,12.62,16.258,0.5055,815,0.215,0.6,0.4,0.0
815,12.789,16.485,0.5043,815,0.214,0.5,0.4,0.1
815,15.162,19.557,0.5018,815,0.207,0.0,0.1,0.9
815,15.347,19.778,0.5018,815,0.209,0.1,0.0,0.9
815,13.2,17.023,0.5018,815,0.211,0.3,0.4,0.3
815,12.976,16.74,0.5006,815,0.212,0.4,0.4,0.2
815,13.698,17.609,0.4994,815,0.206,0.0,0.5,0.5
815,14.745,19.002,0.4994,815,0.207,0.0,0.2,0.8
815,12.651,16.324,0.4969,815,0.217,0.7,0.3,0.0
815,13.45,17.332,0.4957,815,0.209,0.2,0.4,0.4
815,13.725,17.666,0.4957,815,0.208,0.1,0.4,0.5
815,13.494,17.414,0.4957,815,0.211,0.3,0.3,0.4
815,14.539,18.75,0.4957,815,0.21,0.2,0.1,0.7
815,13.179,17.041,0.4957,815,0.217,0.7,0.1,0.2
815,12.973,16.773,0.4945,815,0.219,0.8,0.1,0.1
815,14.367,18.49,0.4945,815,0.206,0.0,0.3,0.7
815,15.01,19.346,0.4945,815,0.21,0.2,0.0,0.8
815,14.438,18.602,0.4933,815,0.208,0.1,0.2,0.7
815,14.137,18.222,0.492,815,0.21,0.2,0.2,0.6
815,12.711,16.415,0.492,815,0.219,0.8,0.2,0.0
815,14.686,18.932,0.4908,815,0.212,0.3,0.0,0.7
815,13.082,16.916,0.4908,815,0.216,0.6,0.2,0.2
815,14.239,18.366,0.4908,815,0.211,0.3,0.1,0.6
815,13.313,17.207,0.4908,815,0.214,0.5,0.2,0.3
815,13.843,17.862,0.4908,815,0.211,0.3,0.2,0.5
815,12.819,16.555,0.4896,815,0.215,0.6,0.3,0.1
815,13.013,16.815,0.4896,815,0.214,0.5,0.3,0.2
815,12.795,16.532,0.4871,815,0.22,0.9,0.1,0.0
815,14.016,18.025,0.4871,815,0.206,0.0,0.4,0.6
815,13.565,17.523,0.4871,815,0.213,0.4,0.2,0.4
719,16.126,20.76,0.4868,719,0.166,0.0,0.0,1.0
815,13.77,17.75,0.4859,815,0.209,0.2,0.3,0.5
815,14.062,18.108,0.4859,815,0.208,0.1,0.3,0.6
815,13.24,17.102,0.4859,815,0.212,0.4,0.3,0.3
815,13.304,17.191,0.4859,815,0.219,0.8,0.0,0.2
815,13.665,17.657,0.4859,815,0.214,0.5,0.1,0.4
815,13.412,17.337,0.4847,815,0.216,0.6,0.1,0.3
815,12.898,16.673,0.4847,815,0.222,1.0,0.0,0.0
815,12.885,16.652,0.4847,815,0.217,0.7,0.2,0.1
815,13.945,18.001,0.481,815,0.213,0.4,0.1,0.5
815,14.375,18.539,0.481,815,0.213,0.4,0.0,0.6
815,13.083,16.918,0.4798,815,0.22,0.9,0.0,0.1
815,14.076,18.167,0.4761,815,0.215,0.5,0.0,0.5
815,13.794,17.817,0.4761,815,0.216,0.6,0.0,0.4
815,13.541,17.492,0.4724,815,0.217,0.7,0.0,0.3
